id,x,y,plot,species,height_cm,elevation,slope,twi,distance_m,mpb_class,fire_class
1,524354.86,5446972.39,3,Pinus_contorta,30,1195,21.3,5.46,16.6,0,2
2,524350.2,5446985.97,3,Pinus_contorta,30,1188,20.2,4.42,14.2,0,2
3,524349.54,5446980.6,3,Pinus_contorta,30,1188,20.2,4.42,15.5,0,2
4,524349.52,5446953.75,3,Pinus_contorta,30,1195,21.3,5.46,38.3,0,4
5,524202.06,5447056.73,3,Pinus_contorta,16,1254,23.9,6.68,29.2,0,1
6,524184.86,5447071.41,3,Pinus_contorta,16,1246,22.5,0.05,31.7,0,1
7,524214.58,5447056.04,3,Pinus_contorta,16,1244,21.4,6.56,26.8,0,1
8,524197.41,5447070.3,3,Pinus_contorta,16,1254,23.9,6.68,29.0,0,1
9,524196.74,5447064.93,3,Pinus_contorta,29,1254,23.9,6.68,29.7,0,1
10,524225.21,5447059.84,3,Pinus_contorta,15,1233,21.8,7.27,24.3,0,1
11,524254.93,5447044.47,3,Pinus_contorta,10,1221,19.9,6.48,36.2,0,3
12,524237.76,5447058.73,3,Pinus_contorta,20,1233,21.8,7.27,21.8,0,1
13,524243.47,5447036.58,3,Pinus_contorta,25,1235,23.6,1.59,41.9,0,3
14,524276.81,5447016.71,3,Pinus_contorta,24,1212,18.2,1.23,37.9,0,3
15,524259.61,5447031.4,3,Pinus_contorta,15,1222,21.6,1.44,37.9,0,3
16,524272.15,5447030.29,3,Pinus_contorta,9,1212,18.2,1.23,19.1,0,2
17,524271.49,5447024.91,3,Pinus_contorta,29,1212,18.2,1.23,36.2,0,3
18,524277.87,5447008.14,3,Pinus_contorta,10,1217,22.7,5.53,40.3,0,3
19,524248.5,5446956.85,3,Pinus_contorta,9,1240,28.1,5.95,161.3,0,4
20,524231.3,5446971.53,3,Pinus_contorta,11,1251,26.8,5.43,90.4,0,2
21,524261.01,5446956.16,3,Pinus_contorta,8,1240,28.1,5.95,165.9,0,4
22,524243.18,5446965.05,3,Pinus_contorta,16,1251,26.8,5.43,91.6,0,2
23,524249.56,5446948.28,3,Pinus_contorta,30,1240,28.1,5.95,154.5,0,4
24,524204.05,5446979.47,3,Pinus_contorta,10,1265,22.9,1.59,153.4,0,3
25,524233.76,5446964.1,3,Pinus_contorta,12,1251,26.8,5.43,157.9,0,3
26,524216.59,5446978.36,3,Pinus_contorta,28,1262,24.7,4.7,88.5,0,2
27,524215.93,5446972.99,3,Pinus_contorta,12,1262,24.7,4.7,86.0,0,2
28,524222.3,5446956.22,3,Pinus_contorta,26,1262,24.7,4.7,143.1,0,3
29,524226.27,5446929.07,3,Pinus_contorta,34,1264,25.7,6.07,120.4,0,3
30,524209.07,5446943.75,3,Pinus_contorta,18,1272,24.7,5.46,123.8,0,3
31,524221.62,5446942.64,3,Pinus_contorta,30,1272,24.7,5.46,130.6,0,3
32,524220.95,5446937.27,3,Pinus_contorta,20,1272,24.7,5.46,125.0,0,3
33,524227.33,5446920.5,3,Pinus_contorta,22,1264,25.7,6.07,113.6,0,3
34,524204.05,5447001.83,3,Pinus_contorta,40,1253,23.7,1.61,62.7,0,4
35,524186.85,5447016.51,3,Pinus_contorta,14,1261,23.0,7.33,63.5,0,4
36,524216.56,5447001.14,3,Pinus_contorta,14,1253,23.7,1.61,59.0,0,3
37,524199.39,5447015.4,3,Pinus_contorta,32,1261,23.0,7.33,61.5,0,4
