"id","zone","abbrev","colour"
11,"Tropical rainforest","TAr","#004616"
12,"Tropical moist forest","TAwa","#096D30"
13,"Tropical dry forest","TAwb","#1C9447"
14,"Tropical shrubland","TBSh","#58B470"
15,"Tropical desert","TBWh","#8ECE9C"
16,"Tropical mountain system","TM","#BAE4C2"
21,"Subtropical humid forest","SCf","#802A07"
22,"Subtropical dry forest","SCs","#B84200"
23,"Subtropical steppe","SBSh","#E96200"
24,"Subtropical desert","SBWh","#F7921E"
25,"Subtropical mountain system","SM","#FFBB80"
31,"Temperate oceanic forest","TeDo","#00366C"
32,"Temperate continental forest","TeDc","#005D9A"
33,"Temperate steppe","TeBSk","#2C86CA"
34,"Temperate desert","TeBWk","#79ABE2"
35,"Temperate mountain system","TeM","#ADCCF6"
41,"Boreal coniferous forest","Ba","#3D1778"
42,"Boreal tundra woodland","Bb","#715DAA"
43,"Boreal mountain system","BM","#A69DCC"
50,"Polar","P","#e1e1e1"
90,"Water","Water","#cfe8f3"
