"qx","qy","x","y","stems","ba_ha","h_mean","h_max","h_p95","h_sd","cover"
0,0,747586.542548268,4308842.28537664,7,32.4562845780883,22.6935839598997,36.66,34.59,11.3380859009282,0.849624060150376
20,0,747606.56548289,4308842.91303825,5,9.2880205055678,18.2737313432836,32.82,30.989,11.5767491423844,0.793532338308458
40,0,747626.588417512,4308843.54069987,3,4.73897470821569,8.97676691729323,31.76,29.092,11.957356866779,0.423558897243108
60,0,747646.611352135,4308844.16836148,9,21.3589815934099,18.7169326683292,32.68,31.05,11.263068690102,0.793017456359102
80,0,747666.634286757,4308844.79602309,12,18.5802428913098,22.8602,32.77,30.965,9.70041137850765,0.88
100,0,747686.657221379,4308845.4236847,9,32.4487054858115,25.5851005025126,34.3,33.01,8.72665991744899,0.922110552763819
120,0,747706.680156001,4308846.05134632,17,47.8499707709537,23.810174563591,34.75,33.36,10.9665497864849,0.855361596009975
140,0,747726.703090624,4308846.67900793,10,14.8754412147477,19.1715789473684,33.46,30.918,11.7130890262064,0.774436090225564
160,0,747746.726025246,4308847.30666954,9,53.8217064364381,21.2435929648241,32.88,31.1775,9.70200357947117,0.881909547738693
180,0,747766.748959869,4308847.93433115,3,19.88410201732,23.2000746268657,32.94,30.7055,9.47061707466655,0.885572139303483
200,0,747786.771894491,4308848.56199277,10,61.2905288110825,19.2993233082707,32.31,29.086,11.2243926895614,0.769423558897243
220,0,747806.794829113,4308849.18965438,9,26.387709319057,16.242075,28.88,27.383,10.8670874395083,0.73
240,0,747826.817763736,4308849.81731599,2,12.185138345846,17.496075,29.63,28.521,9.91071098989311,0.84
260,0,747846.840698358,4308850.4449776,9,49.0277538567846,20.0051378446115,34.11,32.198,10.7161776879513,0.817042606516291
280,0,747866.86363298,4308851.07263922,7,44.1065667746607,18.7989,34.54,33.04,12.0562685902729,0.7725
300,0,747886.886567603,4308851.70030083,4,2.87809156976995,19.1070175438596,36.18,34.684,13.231912310553,0.736842105263158
320,0,747906.909502225,4308852.32796244,3,6.41644774055405,6.46308270676692,30.06,21.95,7.71325412629199,0.568922305764411
340,0,747926.932436847,4308852.95562405,5,22.0540786029708,20.164975,36.05,34.9015,11.9299686663598,0.88
360,0,747946.95537147,4308853.58328567,5,24.5790355235231,18.8600501253133,30.74,29.202,9.56111429333132,0.867167919799499
380,0,747966.978306092,4308854.21094728,5,37.4882913410676,19.4669674185464,34.56,31.429,10.7564399584313,0.824561403508772
0,20,747585.91760284,4308862.22742486,6,13.1995978835984,20.9133333333333,35.92,32.673,11.7988903390459,0.794486215538847
20,20,747605.940537463,4308862.85508647,9,12.0401145749747,21.452375,31.63,30.652,10.1684223033725,0.8725
40,20,747625.963472085,4308863.48274808,13,39.1756407553106,22.6191979949875,33.51,32.162,11.6861407997832,0.829573934837093
60,20,747645.986406707,4308864.11040969,11,24.5440460353438,13.16575,32.03,30.231,12.2690640747645,0.595
80,20,747666.00934133,4308864.73807131,14,41.0736928618392,20.0378947368421,33.98,32.99,13.0313066630202,0.744360902255639
100,20,747686.032275952,4308865.36573292,12,13.8611976614903,24.1862155388471,35.28,33.252,10.9133439810124,0.862155388471178
120,20,747706.055210574,4308865.99339453,14,44.9815788685018,26.00115,39.79,37.73,12.6654482797815,0.835
140,20,747726.078145197,4308866.62105614,15,45.819166739857,25.3216040100251,39.67,38.213,12.2706433357403,0.844611528822055
160,20,747746.101079819,4308867.24871776,10,37.2094160881992,17.3036842105263,32.34,29.58,10.3894191784166,0.786967418546366
180,20,747766.124014442,4308867.87637937,5,14.203258196604,19.143875,28.14,26.65,8.37087795447388,0.8725
200,20,747786.146949064,4308868.50404098,5,23.8020607554281,19.0961809045226,28.14,27.2345,9.74068995468943,0.814070351758794
220,20,747806.169883686,4308869.13170259,9,26.7556290887006,14.232325,29.2,28.342,11.0749523822927,0.6975
240,20,747826.192818308,4308869.75936421,10,45.1955016932571,19.1628070175439,34.01,31.363,11.7593905014323,0.764411027568922
260,20,747846.215752931,4308870.38702582,4,7.83051786384298,18.3961152882205,34.83,31.462,11.4219748618822,0.761904761904762
280,20,747866.238687553,4308871.01468743,6,29.800971197366,17.423391521197,32.73,28.67,10.4046243309803,0.793017456359102
300,20,747886.261622176,4308871.64234904,5,24.4058355935399,12.565425,34.25,26.98,10.836485470981,0.63
320,20,747906.284556798,4308872.27001066,3,19.3162984150918,15.8649122807017,34.92,32.06,12.4050742345075,0.699248120300752
340,20,747926.30749142,4308872.89767227,7,29.1110774506377,18.344812967581,34.93,31.95,11.9678406793971,0.765586034912718
360,20,747946.330426043,4308873.52533388,9,62.7370555134738,18.75285,31.86,30.229,10.2780495052115,0.835
380,20,747966.353360665,4308874.15299549,10,53.2620906100633,18.6900997506234,30.01,27.79,9.44082244775448,0.820448877805486
0,40,747585.292657413,4308882.16947307,6,37.5648283920906,18.123525,30.36,29.423,11.0096791693903,0.795
20,40,747605.315592036,4308882.79713468,2,3.13770493268098,21.05927680798,30.91,29.37,7.83595365770407,0.937655860349127
40,40,747625.338526658,4308883.4247963,11,13.5859352401736,23.4763909774436,33.28,32.06,10.4269601031404,0.862155388471178
60,40,747645.36146128,4308884.05245791,14,44.509574207254,13.7664837905237,31.34,30.21,12.6483566859637,0.591022443890274
80,40,747665.384395903,4308884.68011952,15,33.1568793747929,23.533675,37.12,35.37,12.3495459210253,0.815
100,40,747685.407330525,4308885.30778113,13,28.1195908091648,21.36664160401,35.59,32.94,12.3610043236307,0.786967418546366
120,40,747705.430265147,4308885.93544275,12,25.7172149069646,24.3986783042394,38.53,35.18,9.92951131721764,0.895261845386534
140,40,747725.45319977,4308886.56310436,12,35.0833628948364,20.7183,37.57,33.9605,11.7637750368576,0.82
160,40,747745.476134392,4308887.19076597,17,31.9563393771776,21.0029,31.52,29.911,9.53214677527384,0.87
180,40,747765.499069014,4308887.81842758,10,39.1216446315771,19.60475,29.39,28.48,10.1994067809952,0.805
200,40,747785.522003637,4308888.4460892,10,7.00850051107713,15.325725,28.88,27.91,11.7714283452601,0.6875
220,40,747805.544938259,4308889.07375081,8,9.01044115966906,15.7466334164589,32.05,28.66,12.2521930644183,0.650872817955112
240,40,747825.567872881,4308889.70141242,10,41.1989638689011,21.17685,33.24,32.0635,11.3052169330029,0.805
260,40,747845.590807504,4308890.32907403,8,47.9671914468408,21.5399497487437,36.98,35.17,13.1153358422267,0.761306532663317
280,40,747865.613742126,4308890.95673565,9,21.5593562998467,15.9831920199501,35.99,33.06,12.3023945955873,0.738154613466334
300,40,747885.636676748,4308891.58439726,5,19.7354457799429,9.9728320802005,28.23,26.854,10.6748591719553,0.531328320802005
320,40,747905.659611371,4308892.21205887,7,24.8839859954163,20.023709273183,34.19,32.508,12.4960498190866,0.754385964912281
340,40,747925.682545993,4308892.83972048,6,20.8325292044846,20.6436159600998,33.8,33.15,13.2528617529251,0.745635910224439
360,40,747945.705480615,4308893.4673821,4,9.5734734680546,20.514,35.61,34.06,12.8992157870081,0.745
380,40,747965.728415238,4308894.09504371,10,33.0535406114439,23.5669077306733,34.56,33.56,11.3963932633954,0.837905236907731
0,60,747584.667711986,4308902.11152129,14,26.4753008492299,23.1077556109726,31.34,29.65,8.2491397096985,0.917705735660848
20,60,747604.690646608,4308902.7391829,6,20.7256168794922,25.4317543859649,32.37,30.577,6.6040889518726,0.959899749373434
40,60,747624.713581231,4308903.36684451,18,40.8161018991989,22.6600753768844,32.5,28.66,7.64286049977292,0.92462311557789
60,60,747644.736515853,4308903.99450612,13,19.8336598202758,20.8915461346633,36.68,35.73,12.8982566691585,0.807980049875312
80,60,747664.759450475,4308904.62216774,13,53.7480753586196,16.189775,34.37,32.908,13.029848832618,0.6825
100,60,747684.782385098,4308905.24982935,12,30.4368099154985,10.1098746867168,29.54,25.88,9.40301121096341,0.664160401002506
120,60,747704.80531972,4308905.87749096,9,42.3334126110664,15.6754114713217,30.36,26.97,10.4746938090222,0.805486284289277
140,60,747724.828254343,4308906.50515257,11,41.0277274343263,21.1104511278195,34.39,31.436,11.1150682864323,0.837092731829574
160,60,747744.851188965,4308907.13281419,18,63.9787700098052,19.705775,33.03,30.75,11.7242233188579,0.765
180,60,747764.874123587,4308907.7604758,16,63.5279907339232,18.2334586466165,31.88,30.51,12.2673192743387,0.726817042606516
200,60,747784.89705821,4308908.38813741,9,48.1581610102709,21.5744611528822,34.23,33.055,11.9240267408477,0.789473684210526
220,60,747804.919992832,4308909.01579902,13,66.6937540159915,20.06635,34.68,32.7725,12.7696595958147,0.74
240,60,747824.942927454,4308909.64346064,5,30.3900787247764,19.8578947368421,36.89,35.404,14.7471313649953,0.671679197994987
260,60,747844.965862076,4308910.27112225,6,64.263535748899,22.3781203007519,35.13,33.875,12.9088174347374,0.769423558897243
280,60,747864.988796699,4308910.89878386,9,46.6069407326987,14.576625,31.51,28.8015,10.1865024143702,0.75
300,60,747885.011731321,4308911.52644547,10,43.8833762515772,14.4273934837093,30.3,28.416,9.83279599649055,0.799498746867168
320,60,747905.034665944,4308912.15410709,7,34.1082910749785,22.8587,36.71,35.0875,11.7912445029063,0.8175
340,60,747925.057600566,4308912.7817687,9,30.9033756944648,14.9904271356784,36.71,34.63,14.5398597649132,0.550251256281407
360,60,747945.080535188,4308913.40943031,7,54.6080470776316,21.0618592964824,37.01,35.246,13.7543029973303,0.728643216080402
380,60,747965.103469811,4308914.03709192,4,39.4775870792288,20.39855,35.05,34.571,14.0623496825383,0.72
0,80,747584.042766559,4308922.0535695,5,1.61625124550152,18.588875,28.8,27.3105,8.29693496472626,0.895
20,80,747604.065701181,4308922.68123112,5,10.0769136907924,22.696992481203,30.95,28.604,6.88789269707913,0.93984962406015
40,80,747624.088635804,4308923.30889273,17,25.6776701094376,21.240626566416,29.92,28.682,7.71171577271828,0.904761904761905
60,80,747644.111570426,4308923.93655434,16,35.0235940946019,18.64835,34.41,29.8515,9.87296829910275,0.8275
80,80,747664.134505048,4308924.56421595,15,35.9613005968362,12.5208291457286,29.91,29.1575,10.6708619273704,0.693467336683417
100,80,747684.15743967,4308925.19187756,11,22.1009865082797,16.2550626566416,31.49,29.461,11.3086341334133,0.721804511278195
120,80,747704.180374293,4308925.81953918,9,49.4269913781936,19.0960401002506,37.1,33.29,11.7962577260798,0.81453634085213
140,80,747724.203308915,4308926.44720079,18,70.5774497592215,21.7270927318296,35.88,33.09,11.9865908149795,0.832080200501253
160,80,747744.226243538,4308927.0748624,11,22.948313316861,20.0334663341646,36.3,34.65,13.1273129468482,0.730673316708229
180,80,747764.24917816,4308927.70252401,5,31.4874763085834,23.2528320802005,36.91,35.678,13.6706268305103,0.774436090225564
200,80,747784.272112782,4308928.33018563,10,46.0420038337669,20.271325,35.59,34.65,14.4665139393798,0.69
220,80,747804.295047405,4308928.95784724,14,57.943495632902,20.0955112219451,35.13,33.58,13.3406283135578,0.72069825436409
240,80,747824.317982027,4308929.58550885,10,54.2584467201493,23.1329323308271,38.68,37.25,14.6197980027475,0.741854636591479
260,80,747844.34091665,4308930.21317047,8,44.3776862206655,20.38345,37.67,35.69,13.1665190600209,0.75
280,80,747864.363851272,4308930.84083208,16,47.3869392837228,21.1293516209476,36.26,33.59,12.4775935411662,0.770573566084788
300,80,747884.386785894,4308931.46849369,9,50.4218748667232,20.67825,32.41,30.6835,11.1689261891215,0.8225
320,80,747904.409720516,4308932.0961553,7,26.052737002368,21.7805735660848,38.18,37.02,15.3026925545866,0.70074812967581
340,80,747924.432655139,4308932.72381691,6,15.5912923707763,22.1501253132832,39.91,39.073,16.6651922098514,0.659147869674185
360,80,747944.455589761,4308933.35147853,5,36.3688633387772,19.65075,39.9,38.377,16.2559401577864,0.6425
380,80,747964.478524384,4308933.97914014,11,68.589469562984,21.211072319202,36.05,35.36,13.9998022342195,0.723192019950125
0,100,747583.417821132,4308941.99561772,11,18.242089712059,20.059825436409,31.07,29.72,9.71000253447193,0.845386533665835
20,100,747603.440755754,4308942.62327933,13,15.0503297507822,22.3158145363409,31.08,28.621,6.7907124185498,0.93483709273183
40,100,747623.463690376,4308943.25094094,9,46.1677657146809,21.129525,30.26,27.5525,7.99186632412804,0.9025
60,100,747643.486624999,4308943.87860256,18,21.7882016897066,22.4851620947631,33.87,31.45,10.1068521081571,0.85286783042394
80,100,747663.509559621,4308944.50626417,22,47.3128762369144,16.327343358396,33.38,29.186,10.5111438093484,0.781954887218045
100,100,747683.532494243,4308945.13392578,15,42.8219891735619,20.0096517412935,32.85,32.04,11.2443884759295,0.835820895522388
120,100,747703.555428866,4308945.76158739,12,47.4724887786709,15.6821052631579,36.8,33.27,12.7378942067778,0.696741854636591
140,100,747723.578363488,4308946.38924901,12,28.9929535668627,13.4103007518797,32.26,29.148,11.8908675911443,0.739348370927318
160,100,747743.60129811,4308947.01691062,10,43.1811910235917,18.1985536159601,37.39,35.44,13.6339366069651,0.72069825436409
180,100,747763.624232733,4308947.64457223,14,43.2501882522462,20.4937688442211,35.87,33.989,12.3794483694274,0.78894472361809
200,100,747783.647167355,4308948.27223384,15,46.5166592138162,20.1755889724311,33.98,33.01,13.2175844725093,0.75187969924812
220,100,747803.670101978,4308948.89989545,13,49.119861426397,19.9474563591022,34.37,32.9,12.8275335319661,0.758104738154613
240,100,747823.6930366,4308949.52755707,5,39.8454675789642,18.7635338345865,37.07,30.855,13.0223878848833,0.701754385964912
260,100,747843.715971222,4308950.15521868,6,23.7595510798342,19.8446268656716,34.07,32.1195,12.5017069751232,0.748756218905473
280,100,747863.738905845,4308950.78288029,14,40.2633779417079,22.7778195488722,35.73,34.452,12.6747232139511,0.796992481203007
300,100,747883.761840467,4308951.4105419,11,21.001821778605,22.7371428571429,38.13,35.42,13.7020974023417,0.756892230576441
320,100,747903.784775089,4308952.03820352,13,51.9416595828054,22.3290049751244,39.82,37.758,15.6826797739654,0.703980099502488
340,100,747923.807709711,4308952.66586513,12,49.6332565708558,23.4260651629073,39.63,38.86,16.2186992026145,0.694235588972431
360,100,747943.830644334,4308953.29352674,13,70.8612533855652,19.9334335839599,39.7,38.322,15.8750719696062,0.711779448621554
380,100,747963.853578956,4308953.92118836,10,59.1773365126453,22.2405,38.17,36.8755,15.0767971659088,0.715
0,120,747582.792875705,4308961.93766593,12,29.2409626719096,18.9852618453865,31.79,30.39,11.9927032604732,0.763092269326683
20,120,747602.815810327,4308962.56532754,11,5.3148286416187,21.8612280701754,30.81,29.69,9.3106201449221,0.867167919799499
40,120,747622.838744949,4308963.19298916,13,29.8820439227827,22.6658897243108,29.77,29.473,8.80930270900964,0.892230576441103
60,120,747642.861679572,4308963.82065077,11,14.2972703567626,19.8253,31.15,29.61,11.2139870328502,0.78
80,120,747662.884614194,4308964.44831238,13,34.8960847027743,20.2783959899749,30.85,29.51,10.6699117153635,0.802005012531328
100,120,747682.907548816,4308965.075974,12,33.1877651575685,17.85855,32.61,30.742,11.5193602273572,0.75
120,120,747702.930483439,4308965.70363561,13,36.9931174339996,22.4372180451128,32.79,32.03,10.7779469395257,0.844611528822055
140,120,747722.953418061,4308966.33129722,10,20.3221578429549,15.1115538847118,30.9,28.843,11.7360715303849,0.719298245614035
160,120,747742.976352683,4308966.95895883,12,21.9877517280719,13.939275,30.11,27.8515,10.3869118156959,0.735
180,120,747762.999287306,4308967.58662045,12,50.8666851165634,19.0044862155388,32.7,31.257,12.51759620486,0.721804511278195
200,120,747783.022221928,4308968.21428206,15,62.0023155316155,18.8892230576441,36.11,35.171,14.045417398474,0.681704260651629
220,120,747803.04515655,4308968.84194367,11,42.7692496868897,19.972275,40.45,38.49,13.7352882909484,0.76
240,120,747823.068091173,4308969.46960528,12,25.7490431675363,22.405,37.8,35.66,12.3151812223387,0.814070351758794
260,120,747843.091025795,4308970.0972669,14,46.3739523675268,14.43555,31.23,28.6285,11.4567618539422,0.67
280,120,747863.113960417,4308970.72492851,6,28.870509993189,19.1726130653266,36.11,33.554,11.9509021910431,0.776381909547739
300,120,747883.13689504,4308971.35259012,13,77.3117481365025,17.95664160401,37.78,35.091,14.2730090973431,0.664160401002506
320,120,747903.159829662,4308971.98025173,8,30.460960909023,19.092,40.2,38.3605,16.9420530604989,0.58
340,120,747923.182764285,4308972.60791335,7,41.3596366981781,27.3700501253133,40.9,39.46,15.9203595038287,0.759398496240602
360,120,747943.205698907,4308973.23557496,12,54.6579198610073,21.695,39.35,37.97,16.1239695790915,0.665
380,120,747963.228633529,4308973.86323657,6,27.9100269442162,21.2188279301746,37.28,36.57,15.8825613763278,0.658354114713217
0,140,747582.167930277,4308981.87971415,16,26.918010158983,21.50935,30.97,30.3025,11.2394912913673,0.8125
20,140,747602.1908649,4308982.50737576,10,51.8052162868692,20.4397989949749,33.73,31.9955,12.4580997075082,0.756281407035176
40,140,747622.213799522,4308983.13503737,7,36.2860038325387,19.8745771144279,30.07,29.26,9.64952287504329,0.835820895522388
60,140,747642.236734145,4308983.76269899,9,24.7027750041664,21.297694235589,31.18,30.32,10.0009152192615,0.852130325814536
80,140,747662.259668767,4308984.3903606,14,18.5861530124893,20.8195989974937,30.69,29.89,10.0621943489069,0.832080200501253
100,140,747682.282603389,4308985.01802221,13,36.8334067174727,17.5280845771144,28.86,27.32,9.5816589165878,0.796019900497512
120,140,747702.305538012,4308985.64568382,10,29.9833406509069,19.1107268170426,32.87,31.198,10.8553630180814,0.804511278195489
140,140,747722.328472634,4308986.27334543,7,31.8802932000067,15.7483709273183,33.14,29.684,11.6363183665796,0.716791979949875
160,140,747742.351407256,4308986.90100705,14,43.4841583651223,7.36995024875622,35.34,28.71,9.37028909389963,0.544776119402985
180,140,747762.374341879,4308987.52866866,23,63.388778909461,13.8531829573935,38.64,34.671,14.1123632545101,0.586466165413534
200,140,747782.397276501,4308988.15633027,18,69.0887275405016,23.3764676616915,39.15,38.553,13.0800307320099,0.805970149253731
220,140,747802.420211123,4308988.78399188,11,19.9877156700262,21.1121553884712,39.8,36.16,14.3303947585401,0.734335839598998
240,140,747822.443145746,4308989.4116535,17,45.4050655582057,27.9904260651629,38.7,37.89,11.4874931802703,0.879699248120301
260,140,747842.466080368,4308990.03931511,17,50.8799779804788,24.021368159204,35.17,34.507,12.5086082426607,0.810945273631841
280,140,747862.48901499,4308990.66697672,9,50.5601442133893,26.6668170426065,38.03,35.65,10.7246127312499,0.887218045112782
300,140,747882.511949613,4308991.29463834,10,36.9932941485863,22.861256281407,37.83,36.5015,13.7752434797574,0.766331658291457
320,140,747902.534884235,4308991.92229995,14,55.6002602124057,18.6921641791045,39.24,38.18,15.6392002857871,0.646766169154229
340,140,747922.557818857,4308992.54996156,12,34.8549298390123,20.9389698492462,39.45,37.3765,15.7067129095257,0.668341708542714
360,140,747942.58075348,4308993.17762317,9,41.6431850701187,22.5427,39.91,37.91,15.6484011597717,0.6875
380,140,747962.603688102,4308993.80528478,9,44.5600360392523,22.7198004987531,39.05,37.79,15.136468708391,0.72568578553616
0,160,747581.54298485,4309001.82176236,16,53.718819277033,22.6188,31.63,31.123,9.67032046028007,0.8775
20,160,747601.565919473,4309002.44942398,11,38.1306292290022,22.6156140350877,31.85,30.23,10.1071552872908,0.852130325814536
40,160,747621.588854095,4309003.07708559,10,28.3810694927138,18.3894029850746,33.06,31.8375,11.4001598029571,0.793532338308458
60,160,747641.611788717,4309003.7047472,9,29.2559245069223,17.2256532663317,28.46,26.963,9.8272927898382,0.791457286432161
80,160,747661.63472334,4309004.33240881,9,29.6337010235164,19.1318844221106,27.36,26.12,8.08436767608478,0.879396984924623
100,160,747681.657657962,4309004.96007043,11,22.0480703070208,18.6241293532338,27.85,26.249,7.60768130418979,0.898009950248756
120,160,747701.680592584,4309005.58773204,15,55.9717731786468,14.6590726817043,29.04,28.012,10.7542054128858,0.696741854636591
140,160,747721.703527207,4309006.21539365,14,59.8943068610567,18.973709273183,34.62,33.77,12.9602802282072,0.729323308270677
160,160,747741.726461829,4309006.84305526,11,30.8457471042255,26.7937562189055,38.07,37.54,12.6304502448173,0.845771144278607
