"treeID","stemID","dbh","genus","species","family"
1,1,2.8,"Lindera","benzoin","Lauraceae"
1,31194,1.6,"Lindera","benzoin","Lauraceae"
2,31195,1.1,"Lindera","benzoin","Lauraceae"
3,3,2.2,"Lindera","benzoin","Lauraceae"
3,31196,1.5,"Lindera","benzoin","Lauraceae"
4,4,13.5,"Nyssa","sylvatica","Nyssaceae"
4,31197,12.5,"Nyssa","sylvatica","Nyssaceae"
5,5,8.7,"Hamamelis","virginiana","Hamamelidaceae"
5,31198,8,"Hamamelis","virginiana","Hamamelidaceae"
5,36479,4.4,"Hamamelis","virginiana","Hamamelidaceae"
5,38296,1.6,"Hamamelis","virginiana","Hamamelidaceae"
6,6,2.2,"Hamamelis","virginiana","Hamamelidaceae"
6,31199,2,"Hamamelis","virginiana","Hamamelidaceae"
8,31201,4.3,"Lindera","benzoin","Lauraceae"
9,9,3.8,"Viburnum","prunifolium","Adoxaceae"
9,31202,3.3,"Viburnum","prunifolium","Adoxaceae"
9,36480,1.8,"Viburnum","prunifolium","Adoxaceae"
10,10,1.4,"Asimina","triloba","Annonaceae"
10,31203,1.4,"Asimina","triloba","Annonaceae"
11,11,1.2,"Asimina","triloba","Annonaceae"
11,31204,1.2,"Asimina","triloba","Annonaceae"
12,12,1.8,"Asimina","triloba","Annonaceae"
12,31205,1.6,"Asimina","triloba","Annonaceae"
13,13,1.5,"Lindera","benzoin","Lauraceae"
13,31206,1.4,"Lindera","benzoin","Lauraceae"
13,36481,1.3,"Lindera","benzoin","Lauraceae"
14,14,1.5,"Lindera","benzoin","Lauraceae"
14,36482,1.1,"Lindera","benzoin","Lauraceae"
15,15,1.6,"Lindera","benzoin","Lauraceae"
15,31208,1.3,"Lindera","benzoin","Lauraceae"
16,16,1.7,"Lindera","benzoin","Lauraceae"
16,31209,1.4,"Lindera","benzoin","Lauraceae"
16,36483,1.2,"Lindera","benzoin","Lauraceae"
16,38297,1.1,"Lindera","benzoin","Lauraceae"
17,17,6.8,"Lindera","benzoin","Lauraceae"
17,31210,1.7,"Lindera","benzoin","Lauraceae"
17,36484,1.4,"Lindera","benzoin","Lauraceae"
17,38298,1.4,"Lindera","benzoin","Lauraceae"
17,39098,1.4,"Lindera","benzoin","Lauraceae"
17,39500,1.4,"Lindera","benzoin","Lauraceae"
17,39737,6.3,"Lindera","benzoin","Lauraceae"
17,39875,2.7,"Lindera","benzoin","Lauraceae"
17,39964,2.4,"Lindera","benzoin","Lauraceae"
17,40026,2.2,"Lindera","benzoin","Lauraceae"
17,40073,2.1,"Lindera","benzoin","Lauraceae"
17,40106,2,"Lindera","benzoin","Lauraceae"
17,40131,2,"Lindera","benzoin","Lauraceae"
17,40147,1.8,"Lindera","benzoin","Lauraceae"
18,18,1.9,"Lindera","benzoin","Lauraceae"
18,31211,1.6,"Lindera","benzoin","Lauraceae"
18,36485,1.2,"Lindera","benzoin","Lauraceae"
19,19,2,"Lindera","benzoin","Lauraceae"
19,31212,1.8,"Lindera","benzoin","Lauraceae"
20,20,2.8,"Lindera","benzoin","Lauraceae"
20,31213,1,"Lindera","benzoin","Lauraceae"
20,36486,2.1,"Lindera","benzoin","Lauraceae"
20,38299,1.7,"Lindera","benzoin","Lauraceae"
20,39099,1.4,"Lindera","benzoin","Lauraceae"
20,39501,1.3,"Lindera","benzoin","Lauraceae"
20,39738,1.2,"Lindera","benzoin","Lauraceae"
20,39876,1.2,"Lindera","benzoin","Lauraceae"
20,39965,1.1,"Lindera","benzoin","Lauraceae"
20,40027,1.1,"Lindera","benzoin","Lauraceae"
21,21,23.2,"Liriodendron","tulipifera","Magnoliaceae"
22,22,6.6,"Lindera","benzoin","Lauraceae"
22,31214,1.4,"Lindera","benzoin","Lauraceae"
22,36487,1.3,"Lindera","benzoin","Lauraceae"
22,38300,1.3,"Lindera","benzoin","Lauraceae"
22,39100,1.2,"Lindera","benzoin","Lauraceae"
22,39502,1.1,"Lindera","benzoin","Lauraceae"
22,39739,1.1,"Lindera","benzoin","Lauraceae"
22,39877,1.1,"Lindera","benzoin","Lauraceae"
22,39966,2.5,"Lindera","benzoin","Lauraceae"
22,40028,2,"Lindera","benzoin","Lauraceae"
22,40074,1.9,"Lindera","benzoin","Lauraceae"
22,40107,1.8,"Lindera","benzoin","Lauraceae"
22,40132,1.8,"Lindera","benzoin","Lauraceae"
22,40148,1.6,"Lindera","benzoin","Lauraceae"
22,40158,1.5,"Lindera","benzoin","Lauraceae"
22,40165,1.4,"Lindera","benzoin","Lauraceae"
23,23,2.5,"Hamamelis","virginiana","Hamamelidaceae"
23,31215,2.3,"Hamamelis","virginiana","Hamamelidaceae"
23,36488,2,"Hamamelis","virginiana","Hamamelidaceae"
23,38301,1.7,"Hamamelis","virginiana","Hamamelidaceae"
23,39101,1.1,"Hamamelis","virginiana","Hamamelidaceae"
24,24,1.9,"Rosa","multiflora","Rosaceae"
24,31216,1.4,"Rosa","multiflora","Rosaceae"
24,36489,1.2,"Rosa","multiflora","Rosaceae"
25,25,1.4,"Rosa","multiflora","Rosaceae"
25,31217,1.1,"Rosa","multiflora","Rosaceae"
26,26,4.5,"Ilex","verticillata","Aquifoliaceae"
26,31218,1.9,"Ilex","verticillata","Aquifoliaceae"
26,36490,1.8,"Ilex","verticillata","Aquifoliaceae"
26,38302,1.6,"Ilex","verticillata","Aquifoliaceae"
26,39102,1.5,"Ilex","verticillata","Aquifoliaceae"
26,39503,1.4,"Ilex","verticillata","Aquifoliaceae"
26,39740,1.3,"Ilex","verticillata","Aquifoliaceae"
26,39878,1.3,"Ilex","verticillata","Aquifoliaceae"
26,39967,1.3,"Ilex","verticillata","Aquifoliaceae"
26,40029,1.2,"Ilex","verticillata","Aquifoliaceae"
26,40075,1.1,"Ilex","verticillata","Aquifoliaceae"
26,40108,4.4,"Ilex","verticillata","Aquifoliaceae"
26,40133,1.1,"Ilex","verticillata","Aquifoliaceae"
26,40149,1,"Ilex","verticillata","Aquifoliaceae"
26,40159,1,"Ilex","verticillata","Aquifoliaceae"
26,40166,3.9,"Ilex","verticillata","Aquifoliaceae"
26,40170,3.5,"Ilex","verticillata","Aquifoliaceae"
26,40174,2.5,"Ilex","verticillata","Aquifoliaceae"
26,40177,2.2,"Ilex","verticillata","Aquifoliaceae"
26,40178,2.2,"Ilex","verticillata","Aquifoliaceae"
26,40179,2.2,"Ilex","verticillata","Aquifoliaceae"
26,40180,1.9,"Ilex","verticillata","Aquifoliaceae"
27,27,7.4,"Hamamelis","virginiana","Hamamelidaceae"
27,31219,1.2,"Hamamelis","virginiana","Hamamelidaceae"
27,36491,6.1,"Hamamelis","virginiana","Hamamelidaceae"
27,39103,5.1,"Hamamelis","virginiana","Hamamelidaceae"
27,39504,2.7,"Hamamelis","virginiana","Hamamelidaceae"
27,39741,2.5,"Hamamelis","virginiana","Hamamelidaceae"
27,39879,2.2,"Hamamelis","virginiana","Hamamelidaceae"
27,39968,1.5,"Hamamelis","virginiana","Hamamelidaceae"
27,40030,1.2,"Hamamelis","virginiana","Hamamelidaceae"
28,28,1.3,"Rosa","multiflora","Rosaceae"
28,31220,1.1,"Rosa","multiflora","Rosaceae"
29,29,32.6,"Acer","rubrum","Sapindaceae"
29,31221,20.1,"Acer","rubrum","Sapindaceae"
30,30,1.8,"Sambucus","canadensis","Adoxaceae"
30,31222,1.4,"Sambucus","canadensis","Adoxaceae"
30,36492,1.2,"Sambucus","canadensis","Adoxaceae"
30,38304,1.1,"Sambucus","canadensis","Adoxaceae"
31,31,1.5,"Sambucus","canadensis","Adoxaceae"
31,31223,1.4,"Sambucus","canadensis","Adoxaceae"
31,36493,1.3,"Sambucus","canadensis","Adoxaceae"
31,38305,1.1,"Sambucus","canadensis","Adoxaceae"
32,32,1.4,"Lindera","benzoin","Lauraceae"
32,31224,1.1,"Lindera","benzoin","Lauraceae"
32,36494,1,"Lindera","benzoin","Lauraceae"
33,33,2.3,"Rosa","multiflora","Rosaceae"
33,31225,2.3,"Rosa","multiflora","Rosaceae"
33,36495,2.2,"Rosa","multiflora","Rosaceae"
33,38306,2,"Rosa","multiflora","Rosaceae"
33,39104,1.9,"Rosa","multiflora","Rosaceae"
33,39505,1.2,"Rosa","multiflora","Rosaceae"
34,34,4.2,"Lindera","benzoin","Lauraceae"
