"treeID","stemID","dbh","genus","species","family","gx","gy","lon","lat"
1,1,2.8,"Lindera","benzoin","Lauraceae",3.7,73,-78.145357,38.894152
1,31194,1.6,"Lindera","benzoin","Lauraceae",3.7,73,-78.145357,38.894152
2,31195,1.1,"Lindera","benzoin","Lauraceae",17.3,58.9,-78.1452,38.894025
3,3,2.2,"Lindera","benzoin","Lauraceae",9,197.10001,-78.145296,38.895267
3,31196,1.5,"Lindera","benzoin","Lauraceae",9,197.10001,-78.145296,38.895267
4,4,13.5,"Nyssa","sylvatica","Nyssaceae",14.2,428.5,-78.145236,38.897345
4,31197,12.5,"Nyssa","sylvatica","Nyssaceae",14.2,428.5,-78.145236,38.897345
5,5,8.7,"Hamamelis","virginiana","Hamamelidaceae",9.4,436.39999,-78.145292,38.897416
5,31198,8,"Hamamelis","virginiana","Hamamelidaceae",9.4,436.39999,-78.145292,38.897416
5,36479,4.4,"Hamamelis","virginiana","Hamamelidaceae",9.4,436.39999,-78.145292,38.897416
5,38296,1.6,"Hamamelis","virginiana","Hamamelidaceae",9.4,436.39999,-78.145292,38.897416
6,6,2.2,"Hamamelis","virginiana","Hamamelidaceae",1.3,434,-78.145385,38.897395
6,31199,2,"Hamamelis","virginiana","Hamamelidaceae",1.3,434,-78.145385,38.897395
8,31201,4.3,"Lindera","benzoin","Lauraceae",18,483.70001,-78.145192,38.897841
9,9,3.8,"Viburnum","prunifolium","Adoxaceae",18,597.79999,-78.145192,38.898866
9,31202,3.3,"Viburnum","prunifolium","Adoxaceae",18,597.79999,-78.145192,38.898866
9,36480,1.8,"Viburnum","prunifolium","Adoxaceae",18,597.79999,-78.145192,38.898866
10,10,1.4,"Asimina","triloba","Annonaceae",5.6,627.70001,-78.145336,38.899135
10,31203,1.4,"Asimina","triloba","Annonaceae",5.6,627.70001,-78.145336,38.899135
11,11,1.2,"Asimina","triloba","Annonaceae",13.3,623.29999,-78.145247,38.899095
11,31204,1.2,"Asimina","triloba","Annonaceae",13.3,623.29999,-78.145247,38.899095
12,12,1.8,"Asimina","triloba","Annonaceae",9,636.09998,-78.145296,38.89921
12,31205,1.6,"Asimina","triloba","Annonaceae",9,636.09998,-78.145296,38.89921
13,13,1.5,"Lindera","benzoin","Lauraceae",22.5,2.7,-78.14514,38.893521
13,31206,1.4,"Lindera","benzoin","Lauraceae",22.5,2.7,-78.14514,38.893521
13,36481,1.3,"Lindera","benzoin","Lauraceae",22.5,2.7,-78.14514,38.893521
14,14,1.5,"Lindera","benzoin","Lauraceae",22.2,3.6,-78.145144,38.893529
14,36482,1.1,"Lindera","benzoin","Lauraceae",22.2,3.6,-78.145144,38.893529
