plot_id,tree_id,species,species_code,dbh_cm,height_m,agb_kg
P001,P001-01,Western hemlock,HW,15.9,15.6,187.2
P001,P001-02,Douglas-fir,FDC,25.1,20.7,493.9
P001,P001-03,Douglas-fir,FDC,12.9,13.3,138.1
P001,P001-04,Douglas-fir,FDC,37.8,25.3,1085.0
P001,P001-05,Douglas-fir,FDC,24.9,17.6,505.2
P001,P001-06,Western hemlock,HW,19.0,16.6,261.8
P001,P001-07,Douglas-fir,FDC,31.9,25.4,785.3
P001,P001-08,Douglas-fir,FDC,25.2,20.2,537.5
P001,P001-09,Western redcedar,CW,8.3,8.4,40.3
P001,P001-10,Western hemlock,HW,12.7,12.0,132.8
P001,P001-11,Douglas-fir,FDC,39.5,28.6,1291.9
P001,P001-12,Red alder,DR,30.6,21.3,624.7
P001,P001-13,Douglas-fir,FDC,22.8,20.7,415.4
P001,P001-14,Red alder,DR,30.0,20.8,536.9
P001,P001-15,Douglas-fir,FDC,27.1,19.7,619.7
P001,P001-16,Red alder,DR,52.7,26.6,2038.5
P001,P001-17,Western hemlock,HW,13.4,11.8,130.1
P001,P001-18,Red alder,DR,26.6,17.9,440.8
P001,P001-19,Douglas-fir,FDC,29.8,21.9,672.1
P001,P001-20,Douglas-fir,FDC,24.2,21.8,521.4
P001,P001-21,Bigleaf maple,MB,28.3,18.8,569.5
P001,P001-22,Douglas-fir,FDC,54.2,31.6,2659.0
P001,P001-23,Douglas-fir,FDC,16.4,16.8,243.2
P001,P001-24,Western hemlock,HW,17.8,17.2,243.5
P001,P001-25,Red alder,DR,14.7,12.4,127.4
P001,P001-26,Red alder,DR,30.2,22.7,572.8
P001,P001-27,Western hemlock,HW,32.3,22.6,843.3
P001,P001-28,Douglas-fir,FDC,21.6,15.7,418.3
P001,P001-29,Douglas-fir,FDC,14.6,13.3,191.3
P001,P001-30,Bigleaf maple,MB,31.6,20.4,768.1
P001,P001-31,Douglas-fir,FDC,16.0,13.5,194.9
P001,P001-32,Western hemlock,HW,21.2,21.0,361.9
P001,P001-33,Douglas-fir,FDC,26.6,21.8,547.8
P001,P001-34,Western hemlock,HW,17.5,13.7,221.1
P001,P001-35,Douglas-fir,FDC,28.9,20.6,746.1
P001,P001-36,Douglas-fir,FDC,10.9,9.3,99.0
P001,P001-37,Bigleaf maple,MB,21.4,13.5,334.7
P001,P001-38,Douglas-fir,FDC,14.3,11.6,170.1
P001,P001-39,Douglas-fir,FDC,22.9,17.0,450.0
P001,P001-40,Douglas-fir,FDC,19.1,18.6,310.2
P001,P001-41,Western hemlock,HW,13.6,14.9,151.0
P001,P001-42,Bigleaf maple,MB,13.3,9.6,139.1
P001,P001-43,Western hemlock,HW,34.8,26.7,948.8
P001,P001-44,Red alder,DR,8.8,11.0,51.1
P001,P001-45,Western redcedar,CW,24.9,16.8,430.0
P001,P001-46,Western hemlock,HW,14.1,13.4,142.3
P002,P002-01,Red alder,DR,26.1,17.7,437.5
P002,P002-02,Red alder,DR,15.7,14.9,161.0
P002,P002-03,Red alder,DR,14.5,12.3,136.1
P002,P002-04,Red alder,DR,10.7,7.2,68.1
P002,P002-05,Western redcedar,CW,45.1,25.3,1283.5
P002,P002-06,Sitka spruce,SS,15.6,16.5,166.6
P002,P002-07,Red alder,DR,14.9,12.8,126.6
P002,P002-08,Bigleaf maple,MB,7.5,7.5,39.3
P002,P002-09,Bigleaf maple,MB,30.4,17.9,775.8
P002,P002-10,Red alder,DR,13.7,10.2,111.5
P002,P002-11,Red alder,DR,15.1,13.5,147.9
P002,P002-12,Western redcedar,CW,22.0,16.8,328.5
P002,P002-13,Red alder,DR,12.2,11.8,84.4
P002,P002-14,Red alder,DR,28.9,20.6,505.3
P002,P002-15,Red alder,DR,19.5,15.9,265.5
P002,P002-16,Sitka spruce,SS,17.5,15.9,211.2
P002,P002-17,Western redcedar,CW,8.7,5.0,43.6
P002,P002-18,Red alder,DR,19.4,12.0,223.5
P002,P002-19,Red alder,DR,20.1,15.5,251.2
P002,P002-20,Red alder,DR,17.2,13.1,175.1
P002,P002-21,Sitka spruce,SS,21.3,20.3,340.8
P002,P002-22,Red alder,DR,36.2,22.6,873.9
P002,P002-23,Sitka spruce,SS,10.6,12.1,84.8
P002,P002-24,Sitka spruce,SS,9.5,7.6,59.7
P002,P002-25,Red alder,DR,23.4,17.6,366.8
P002,P002-26,Red alder,DR,11.5,11.2,84.0
P002,P002-27,Red alder,DR,20.6,15.4,251.3
P002,P002-28,Red alder,DR,27.7,22.3,459.7
P002,P002-29,Bigleaf maple,MB,13.9,12.6,150.6
P002,P002-30,Red alder,DR,28.0,18.0,528.4
P002,P002-31,Sitka spruce,SS,15.8,14.4,171.0
P002,P002-32,Red alder,DR,7.5,7.9,31.3
P002,P002-33,Bigleaf maple,MB,13.7,10.0,131.7
P002,P002-34,Western redcedar,CW,12.8,11.7,106.6
P002,P002-35,Red alder,DR,14.4,12.9,136.6
P002,P002-36,Red alder,DR,14.4,13.4,142.5
P002,P002-37,Western redcedar,CW,14.2,13.3,135.5
P002,P002-38,Red alder,DR,27.0,19.0,496.3
P002,P002-39,Red alder,DR,23.7,19.8,346.2
P002,P002-40,Western redcedar,CW,21.2,15.5,291.7
P002,P002-41,Bigleaf maple,MB,21.5,14.8,369.9
P002,P002-42,Bigleaf maple,MB,21.7,15.2,379.6
P002,P002-43,Bigleaf maple,MB,15.2,11.7,168.8
P002,P002-44,Red alder,DR,17.2,15.2,191.2
P002,P002-45,Bigleaf maple,MB,15.1,12.5,171.0
P002,P002-46,Red alder,DR,13.3,9.6,118.2
P002,P002-47,Western redcedar,CW,19.2,14.6,218.8
P002,P002-48,Red alder,DR,36.6,20.5,800.8
P002,P002-49,Bigleaf maple,MB,13.4,14.2,123.2
P002,P002-50,Red alder,DR,27.0,16.9,500.1
P002,P002-51,Red alder,DR,31.6,22.8,652.1
P002,P002-52,Bigleaf maple,MB,11.9,9.9,98.8
P002,P002-53,Western redcedar,CW,10.7,8.4,66.5
P002,P002-54,Red alder,DR,11.6,12.4,78.4
P002,P002-55,Western redcedar,CW,20.4,15.6,288.1
P002,P002-56,Bigleaf maple,MB,28.0,18.1,563.3
P002,P002-57,Red alder,DR,16.0,12.2,170.7
P002,P002-58,Sitka spruce,SS,14.5,13.1,160.3
P003,P003-01,Red alder,DR,7.5,7.7,33.9
P003,P003-02,Western redcedar,CW,15.7,11.3,171.8
P003,P003-03,Red alder,DR,12.9,11.9,112.2
P003,P003-04,Bigleaf maple,MB,24.8,12.7,471.0
P003,P003-05,Western redcedar,CW,15.7,12.1,148.7
P003,P003-06,Red alder,DR,31.1,20.9,580.0
P003,P003-07,Western redcedar,CW,29.4,18.4,554.2
P003,P003-08,Red alder,DR,52.4,26.2,1936.0
P003,P003-09,Bigleaf maple,MB,13.7,11.8,139.9
P003,P003-10,Western redcedar,CW,16.9,12.2,188.1
P003,P003-11,Red alder,DR,19.2,15.1,229.5
P003,P003-12,Red alder,DR,24.7,17.0,363.6
P003,P003-13,Red alder,DR,49.1,26.9,1548.3
P003,P003-14,Bigleaf maple,MB,21.4,15.8,349.4
P003,P003-15,Sitka spruce,SS,12.3,11.6,117.7
P003,P003-16,Bigleaf maple,MB,11.8,11.2,114.8
P003,P003-17,Bigleaf maple,MB,26.5,17.8,535.3
P003,P003-18,Red alder,DR,24.0,16.2,368.7
P003,P003-19,Red alder,DR,14.0,14.3,119.3
P003,P003-20,Western redcedar,CW,28.1,17.4,515.8
P003,P003-21,Red alder,DR,20.8,19.0,282.9
P003,P003-22,Bigleaf maple,MB,36.0,20.8,1012.5
P003,P003-23,Red alder,DR,18.1,15.3,187.6
P003,P003-24,Red alder,DR,13.1,11.6,106.1
P003,P003-25,Sitka spruce,SS,21.4,21.1,342.9
P003,P003-26,Western redcedar,CW,16.2,12.8,162.1
P003,P003-27,Red alder,DR,36.5,23.1,932.8
P003,P003-28,Red alder,DR,32.4,20.6,661.6
P003,P003-29,Bigleaf maple,MB,54.3,22.1,2267.2
P003,P003-30,Red alder,DR,32.1,23.9,726.8
P003,P003-31,Red alder,DR,15.5,13.8,152.8
P003,P003-32,Red alder,DR,12.8,9.9,94.8
P003,P003-33,Bigleaf maple,MB,27.4,19.1,568.7
P003,P003-34,Western redcedar,CW,12.5,8.9,99.4
P003,P003-35,Bigleaf maple,MB,24.1,16.7,429.4
P003,P003-36,Western redcedar,CW,37.3,21.6,854.0
P003,P003-37,Red alder,DR,21.0,16.4,285.5
P003,P003-38,Red alder,DR,10.0,10.4,61.5
P003,P003-39,Sitka spruce,SS,10.2,11.1,81.3
P003,P003-40,Red alder,DR,20.1,18.1,267.9
P003,P003-41,Western redcedar,CW,19.4,14.1,260.9
P003,P003-42,Western redcedar,CW,15.7,13.8,165.8
P003,P003-43,Red alder,DR,11.6,10.9,76.0
P003,P003-44,Bigleaf maple,MB,15.3,11.3,160.4
P003,P003-45,Western redcedar,CW,18.5,11.5,222.3
P003,P003-46,Bigleaf maple,MB,36.6,21.2,993.1
P003,P003-47,Red alder,DR,24.1,19.7,384.9
P003,P003-48,Red alder,DR,14.1,13.7,126.3
P003,P003-49,Bigleaf maple,MB,20.9,14.9,367.4
P003,P003-50,Red alder,DR,26.3,17.6,412.9
P003,P003-51,Red alder,DR,12.6,12.7,96.6
P003,P003-52,Sitka spruce,SS,13.5,13.2,141.7
P003,P003-53,Sitka spruce,SS,21.4,19.4,323.2
P003,P003-54,Red alder,DR,9.6,7.4,56.3
P003,P003-55,Red alder,DR,19.0,16.8,229.7
P003,P003-56,Western redcedar,CW,18.0,13.7,197.4
P003,P003-57,Red alder,DR,30.1,22.0,558.3
P003,P003-58,Red alder,DR,21.6,19.8,302.8
P003,P003-59,Sitka spruce,SS,24.7,21.7,468.4
P003,P003-60,Sitka spruce,SS,12.6,14.0,112.3
P004,P004-01,Douglas-fir,FDC,54.0,34.6,2296.9
P004,P004-02,Douglas-fir,FDC,19.7,15.6,300.2
P004,P004-03,Western hemlock,HW,37.2,27.0,1159.2
P004,P004-04,Western hemlock,HW,18.9,16.4,288.6
P004,P004-05,Western hemlock,HW,21.7,18.5,400.2
P004,P004-06,Douglas-fir,FDC,17.0,15.2,220.7
P004,P004-07,Douglas-fir,FDC,16.0,14.9,205.4
P004,P004-08,Douglas-fir,FDC,26.9,22.0,641.3
P004,P004-09,Red alder,DR,21.6,17.6,285.8
P004,P004-10,Douglas-fir,FDC,27.5,20.4,570.9
P004,P004-11,Bigleaf maple,MB,21.2,10.6,352.1
P004,P004-12,Douglas-fir,FDC,24.2,21.1,492.8
P004,P004-13,Douglas-fir,FDC,23.4,19.8,495.6
P004,P004-14,Western hemlock,HW,17.8,17.0,224.1
P004,P004-15,Red alder,DR,23.2,18.6,338.9
P004,P004-16,Douglas-fir,FDC,33.8,26.3,866.5
P004,P004-17,Douglas-fir,FDC,28.9,19.8,660.5
P004,P004-18,Western hemlock,HW,20.2,18.7,290.2
P004,P004-19,Douglas-fir,FDC,22.7,16.3,468.2
P004,P004-20,Western hemlock,HW,20.1,17.2,298.9
P004,P004-21,Red alder,DR,33.6,23.3,690.4
P004,P004-22,Western hemlock,HW,26.7,20.7,580.6
P004,P004-23,Douglas-fir,FDC,14.6,11.9,168.2
P004,P004-24,Red alder,DR,26.7,17.1,482.0
P004,P004-25,Douglas-fir,FDC,26.4,19.5,561.0
P004,P004-26,Western hemlock,HW,36.4,24.0,1014.7
P004,P004-27,Bigleaf maple,MB,14.3,9.2,165.8
P004,P004-28,Western hemlock,HW,40.8,28.1,1427.5
P004,P004-29,Douglas-fir,FDC,22.7,17.9,462.6
P004,P004-30,Douglas-fir,FDC,14.6,13.4,184.8
P004,P004-31,Western hemlock,HW,28.9,21.8,658.1
P004,P004-32,Douglas-fir,FDC,17.6,15.7,278.5
P004,P004-33,Douglas-fir,FDC,38.8,26.0,1331.3
P004,P004-34,Douglas-fir,FDC,24.5,18.6,548.9
P004,P004-35,Douglas-fir,FDC,34.0,25.6,925.8
P004,P004-36,Douglas-fir,FDC,25.6,18.1,555.7
P004,P004-37,Western hemlock,HW,24.5,17.6,452.5
P004,P004-38,Western hemlock,HW,11.2,11.1,94.4
P004,P004-39,Douglas-fir,FDC,16.4,15.0,217.8
P004,P004-40,Douglas-fir,FDC,11.3,10.3,109.1
P004,P004-41,Douglas-fir,FDC,22.3,14.1,432.4
P004,P004-42,Western hemlock,HW,16.8,12.9,209.2
P004,P004-43,Bigleaf maple,MB,14.7,11.3,167.4
P004,P004-44,Western redcedar,CW,32.1,20.3,673.8
P004,P004-45,Douglas-fir,FDC,26.8,24.2,579.1
P004,P004-46,Red alder,DR,21.7,16.0,272.1
P004,P004-47,Western redcedar,CW,19.3,12.9,239.1
P004,P004-48,Western hemlock,HW,11.8,11.3,110.4
P004,P004-49,Douglas-fir,FDC,23.2,17.5,433.1
P004,P004-50,Bigleaf maple,MB,22.0,17.0,391.5
P004,P004-51,Western hemlock,HW,13.8,12.3,153.6
P004,P004-52,Douglas-fir,FDC,35.9,26.0,1111.0
P004,P004-53,Red alder,DR,28.5,21.2,491.6
P004,P004-54,Western redcedar,CW,24.1,17.8,335.6
P004,P004-55,Western hemlock,HW,18.9,17.9,290.6
P004,P004-56,Douglas-fir,FDC,8.7,8.1,56.1
P004,P004-57,Western hemlock,HW,22.2,21.6,406.3
P004,P004-58,Douglas-fir,FDC,20.4,17.0,363.1
P004,P004-59,Douglas-fir,FDC,42.5,25.9,1633.7
P004,P004-60,Western hemlock,HW,20.2,16.1,320.5
P004,P004-61,Western hemlock,HW,20.2,17.3,341.7
P004,P004-62,Western hemlock,HW,13.7,11.6,146.7
P004,P004-63,Douglas-fir,FDC,15.8,15.4,203.3
P004,P004-64,Western hemlock,HW,15.8,12.4,176.8
P004,P004-65,Western hemlock,HW,18.4,16.7,242.5
P004,P004-66,Douglas-fir,FDC,19.6,15.8,349.1
P004,P004-67,Douglas-fir,FDC,20.5,17.1,319.4
P004,P004-68,Douglas-fir,FDC,16.9,14.4,225.4
P004,P004-69,Bigleaf maple,MB,17.5,14.2,211.4
P004,P004-70,Douglas-fir,FDC,16.3,16.8,234.3
P004,P004-71,Western hemlock,HW,25.2,21.9,542.2
P004,P004-72,Douglas-fir,FDC,10.6,7.8,87.2
P004,P004-73,Douglas-fir,FDC,24.9,22.1,560.2
P004,P004-74,Douglas-fir,FDC,13.5,12.7,156.2
P004,P004-75,Western hemlock,HW,18.1,15.0,265.9
P004,P004-76,Western hemlock,HW,19.1,18.4,283.1
P004,P004-77,Douglas-fir,FDC,20.0,18.5,345.3
P004,P004-78,Western hemlock,HW,29.8,23.7,648.8
P004,P004-79,Douglas-fir,FDC,22.6,18.2,401.9
P004,P004-80,Western redcedar,CW,29.2,16.8,507.8
P004,P004-81,Douglas-fir,FDC,13.8,12.3,156.1
P005,P005-01,Douglas-fir,FDC,19.9,17.2,350.8
P005,P005-02,Western hemlock,HW,17.5,16.3,238.7
P005,P005-03,Douglas-fir,FDC,21.5,18.1,373.7
P005,P005-04,Douglas-fir,FDC,21.2,18.9,367.6
P005,P005-05,Western hemlock,HW,12.0,11.5,117.4
P005,P005-06,Douglas-fir,FDC,30.9,21.3,859.7
P005,P005-07,Douglas-fir,FDC,16.4,13.1,235.8
P005,P005-08,Western hemlock,HW,21.2,16.0,322.3
P005,P005-09,Douglas-fir,FDC,14.9,14.7,179.5
P005,P005-10,Douglas-fir,FDC,20.6,18.0,369.5
P005,P005-11,Western hemlock,HW,24.7,18.2,482.5
P005,P005-12,Red alder,DR,24.8,19.4,410.5
P005,P005-13,Western hemlock,HW,14.0,14.1,140.0
P005,P005-14,Douglas-fir,FDC,14.8,14.1,184.9
P005,P005-15,Bigleaf maple,MB,14.0,10.1,142.8
P005,P005-16,Western hemlock,HW,28.2,20.2,647.4
P005,P005-17,Douglas-fir,FDC,17.0,13.8,219.5
P005,P005-18,Western hemlock,HW,23.3,18.4,447.8
P005,P005-19,Western redcedar,CW,14.1,13.3,119.0
P005,P005-20,Western hemlock,HW,28.9,21.8,633.9
P005,P005-21,Douglas-fir,FDC,13.5,11.4,149.7
P005,P005-22,Douglas-fir,FDC,60.3,34.7,3183.0
P005,P005-23,Douglas-fir,FDC,19.5,16.8,300.1
P005,P005-24,Douglas-fir,FDC,39.7,25.8,1334.0
P005,P005-25,Douglas-fir,FDC,20.5,16.6,326.2
P005,P005-26,Western hemlock,HW,23.4,18.5,433.3
P005,P005-27,Douglas-fir,FDC,21.5,18.5,365.6
P005,P005-28,Western hemlock,HW,18.1,16.2,254.0
P005,P005-29,Western hemlock,HW,11.8,13.2,98.7
P005,P005-30,Western redcedar,CW,20.8,15.5,252.6
P005,P005-31,Western hemlock,HW,32.7,24.2,783.0
P005,P005-32,Douglas-fir,FDC,9.3,10.1,72.8
P005,P005-33,Douglas-fir,FDC,13.6,11.8,143.6
P005,P005-34,Western hemlock,HW,32.5,24.6,909.5
